ImprintCondition,Phase,TestCondition,TargetVideo,NonTargetVideo,LeftMonitor,RightMonitor,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,non-matched,12fr.mov,1sr.mov,1sr.mov,12fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,1fr.mov,1sr.mov,1sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,2fr.mov,2sr.mov,2sr.mov,2fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,3fr.mov,3sr.mov,3sr.mov,3fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,4fr.mov,4sr.mov,4sr.mov,4fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,5fr.mov,5sr.mov,5sr.mov,5fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,6fr.mov,6sr.mov,6sr.mov,6fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,7fr.mov,7sr.mov,7sr.mov,7fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,8fr.mov,8sr.mov,8sr.mov,8fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,9fr.mov,9sr.mov,9sr.mov,9fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,10fr.mov,10sr.mov,10sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,11fr.mov,11sr.mov,11sr.mov,11fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Front,Test,matched,12fr.mov,12sr.mov,12sr.mov,12fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Training,,1sr.mov,White.mov,1sr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,rest,1sr.mov,White.mov,1sr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,1sr.mov,1fr.mov,1sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,2sr.mov,1fr.mov,2sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,3sr.mov,1fr.mov,3sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,4sr.mov,1fr.mov,4sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,5sr.mov,1fr.mov,5sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,6sr.mov,1fr.mov,6sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,7sr.mov,1fr.mov,7sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,8sr.mov,1fr.mov,8sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,9sr.mov,1fr.mov,9sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,10sr.mov,1fr.mov,10sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,11sr.mov,1fr.mov,11sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,12sr.mov,1fr.mov,12sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,1sr.mov,1fr.mov,1sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,2sr.mov,2fr.mov,2sr.mov,2fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,3sr.mov,3fr.mov,3sr.mov,3fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,4sr.mov,4fr.mov,4sr.mov,4fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,5sr.mov,5fr.mov,5sr.mov,5fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,6sr.mov,6fr.mov,6sr.mov,6fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,7sr.mov,7fr.mov,7sr.mov,7fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,8sr.mov,8fr.mov,8sr.mov,8fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,9sr.mov,9fr.mov,9sr.mov,9fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,10sr.mov,10fr.mov,10sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,11sr.mov,11fr.mov,11sr.mov,11fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,12sr.mov,12fr.mov,12sr.mov,12fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Training,,1sr.mov,White.mov,White.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,rest,1sr.mov,White.mov,White.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,1sr.mov,1fr.mov,1fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,2sr.mov,1fr.mov,1fr.mov,2sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,3sr.mov,1fr.mov,1fr.mov,3sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,4sr.mov,1fr.mov,1fr.mov,4sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,5sr.mov,1fr.mov,1fr.mov,5sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,6sr.mov,1fr.mov,1fr.mov,6sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,7sr.mov,1fr.mov,1fr.mov,7sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,8sr.mov,1fr.mov,1fr.mov,8sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,9sr.mov,1fr.mov,1fr.mov,9sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,10sr.mov,1fr.mov,1fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,11sr.mov,1fr.mov,1fr.mov,11sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,non-matched,12sr.mov,1fr.mov,1fr.mov,12sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,1sr.mov,1fr.mov,1fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,2sr.mov,2fr.mov,2fr.mov,2sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,3sr.mov,3fr.mov,3fr.mov,3sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,4sr.mov,4fr.mov,4fr.mov,4sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,5sr.mov,5fr.mov,5fr.mov,5sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,6sr.mov,6fr.mov,6fr.mov,6sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,7sr.mov,7fr.mov,7fr.mov,7sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,8sr.mov,8fr.mov,8fr.mov,8sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,9sr.mov,9fr.mov,9fr.mov,9sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,10sr.mov,10fr.mov,10fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,11sr.mov,11fr.mov,11fr.mov,11sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Front,Test,matched,12sr.mov,12fr.mov,12fr.mov,12sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Training,,10fr.mov,White.mov,10fr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,rest,10fr.mov,White.mov,10fr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,1fr.mov,10sr.mov,1fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,2fr.mov,10sr.mov,2fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,3fr.mov,10sr.mov,3fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,4fr.mov,10sr.mov,4fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,5fr.mov,10sr.mov,5fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,6fr.mov,10sr.mov,6fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,7fr.mov,10sr.mov,7fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,8fr.mov,10sr.mov,8fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,9fr.mov,10sr.mov,9fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,10fr.mov,10sr.mov,10fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,11fr.mov,10sr.mov,11fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,12fr.mov,10sr.mov,12fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Training,,10fr.mov,White.mov,White.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,rest,10fr.mov,White.mov,White.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,1fr.mov,10sr.mov,10sr.mov,1fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,2fr.mov,10sr.mov,10sr.mov,2fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,3fr.mov,10sr.mov,10sr.mov,3fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,4fr.mov,10sr.mov,10sr.mov,4fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,5fr.mov,10sr.mov,10sr.mov,5fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,6fr.mov,10sr.mov,10sr.mov,6fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,7fr.mov,10sr.mov,10sr.mov,7fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,8fr.mov,10sr.mov,10sr.mov,8fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,9fr.mov,10sr.mov,10sr.mov,9fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,10fr.mov,10sr.mov,10sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,11fr.mov,10sr.mov,10sr.mov,11fr.mov,,,,,,,,,,,,,,,,,,,,
Fork_Side,Test,non-matched,12fr.mov,10sr.mov,10sr.mov,12fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Training,,10sr.mov,White.mov,10sr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,rest,10sr.mov,White.mov,10sr.mov,White.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,1sr.mov,10fr.mov,1sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,2sr.mov,10fr.mov,2sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,3sr.mov,10fr.mov,3sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,4sr.mov,10fr.mov,4sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,5sr.mov,10fr.mov,5sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,6sr.mov,10fr.mov,6sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,7sr.mov,10fr.mov,7sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,8sr.mov,10fr.mov,8sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,9sr.mov,10fr.mov,9sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,10sr.mov,10fr.mov,10sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,11sr.mov,10fr.mov,11sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,12sr.mov,10fr.mov,12sr.mov,10fr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Training,,10sr.mov,White.mov,White.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,rest,10sr.mov,White.mov,White.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,1sr.mov,10fr.mov,10fr.mov,1sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,2sr.mov,10fr.mov,10fr.mov,2sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,3sr.mov,10fr.mov,10fr.mov,3sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,4sr.mov,10fr.mov,10fr.mov,4sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,5sr.mov,10fr.mov,10fr.mov,5sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,6sr.mov,10fr.mov,10fr.mov,6sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,7sr.mov,10fr.mov,10fr.mov,7sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,8sr.mov,10fr.mov,10fr.mov,8sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,9sr.mov,10fr.mov,10fr.mov,9sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,10sr.mov,10fr.mov,10fr.mov,10sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,11sr.mov,10fr.mov,10fr.mov,11sr.mov,,,,,,,,,,,,,,,,,,,,
Ship_Side,Test,non-matched,12sr.mov,10fr.mov,10fr.mov,12sr.mov,,,,,,,,,,,,,,,,,,,,
